index,file,sample_id,instrument,analysis,purity,mineral_type,formula,sample_location,group,mineral
0,c:\2020\ecospeclib\mineral.phosphate.none.coarse.vswir.p-3a.jpl.perkin.spectrum.txt, p-3a,Perk,FALSE,z, none,"(li,na)al(po_4)(f,oh)", jpl,amblygonite,amblygonite
1,c:\2020\ecospeclib\mineral.phosphate.none.fine.vswir.p-3a.jpl.perkin.spectrum.txt, p-3a,Perk,FALSE,z, none,"(li,na)al(po_4)(f,oh)", jpl,amblygonite,amblygonite
2,c:\2020\ecospeclib\mineral.phosphate.none.medium.vswir.p-3a.jpl.perkin.spectrum.txt, p-3a,Perk,FALSE,z, none,"(li,na)al(po_4)(f,oh)", jpl,amblygonite,amblygonite
3,c:\2020\ecospeclib\mineral.phosphate.none.coarse.vswir.p-2a.jpl.perkin.spectrum.txt, p-2a,Perk,FALSE,z, none,lialpo_4(oh), jpl,amblygonite,montebrasite
4,c:\2020\ecospeclib\mineral.phosphate.none.medium.vswir.p-2a.jpl.perkin.spectrum.txt, p-2a,Perk,FALSE,z, none,lialpo_4(oh), jpl,amblygonite,montebrasite
5,c:\2020\ecospeclib\mineral.silicate.inosilicate.coarse.vswir.in-4a.jpl.perkin.spectrum.txt, in-4a,Perk,FALSE,z, inosilicate,"ca_2(mg,fe^2+)_5si_8o_22(oh)_2", jpl,amphibole,actinolite
6,c:\2020\ecospeclib\mineral.silicate.inosilicate.medium.vswir.in-4a.jpl.perkin.spectrum.txt, in-4a,Perk,FALSE,z, inosilicate,"ca_2(mg,fe^2+)_5si_8o_22(oh)_2", jpl,amphibole,actinolite
7,Actinolite_HS116.2B_ASDFRb_AREF.txt," hs116.1b, hs116.2b, hs116.3b, hs116.4b",ASDFR,TRUE,b, inosilicate," Ca2(Mg,Fe+2)5Si8O22(OH)2", usgs denver spectroscopy laboratory,amphibole,actinolite
8,Actinolite_HS116.3B_ASDFRb_AREF.txt," hs116.1b, hs116.2b, hs116.3b, hs116.4b",ASDFR,TRUE,b, inosilicate," Ca2(Mg,Fe+2)5Si8O22(OH)2", usgs denver spectroscopy laboratory,amphibole,actinolite
9,Actinolite_HS116.4B_ASDFRb_AREF.txt," hs116.1b, hs116.2b, hs116.3b, hs116.4b",ASDFR,TRUE,b, inosilicate," Ca2(Mg,Fe+2)5Si8O22(OH)2", usgs denver spectroscopy laboratory,amphibole,actinolite
