Mineral,Subgroup,Group,Red,Green,Blue
Background,Background,BACKGROUND,0,0,0
Water-Unbound,Water,BACKGROUND,0,0,0
Water-Bound,Water,BACKGROUND,0,0,0
Constant,Background,BACKGROUND,0,0,0
Drift,Background,BACKGROUND,0,0,0
Chrysocolla,Chrysocolla,MISC-SILICATE,73,128,189
Lazurite,Lazurite,MISC-SILICATE,73,128,189
Opal,Opal,SILICA,254,207,230
Quartz,Quartz,SILICA,254,207,230
Zircon,Zircon,MISC-SILICATE,73,128,189
Anorthoclase,K-Feldspar,K-FELDSPAR,240,120,0
Microcline,K-Feldspar,K-FELDSPAR,240,120,0
Orthoclase,K-Feldspar,K-FELDSPAR,240,120,0
Albite,Albite,PLAGIOCLASE,149,13,0
Anorthite,Plagioclase-Ca,PLAGIOCLASE,149,13,0
Bytownite,Plagioclase-Ca,PLAGIOCLASE,149,13,0
Labradorite,Plagioclase-Ca,PLAGIOCLASE,149,13,0
Andesine,Plagioclase-Na,PLAGIOCLASE,149,13,0
Oligoclase,Plagioclase-Na,PLAGIOCLASE,149,13,0
Andradite,Garnet-Ca,GARNET,161,0,121
Grossular,Garnet-Ca,GARNET,161,0,121
Uvarovite,Garnet-Ca,GARNET,161,0,121
Almandine,Garnet-Mg-Fe-Mn,GARNET,161,0,121
Pyrope,Garnet-Mg-Fe-Mn,GARNET,161,0,121
Spessartine,Garnet-Mg-Fe-Mn,GARNET,161,0,121
Augite,Pyroxene-Clino,PYROXENE,135,49,146
Diopside,Pyroxene-Clino,PYROXENE,135,49,146
Hedenbergite,Pyroxene-Clino,PYROXENE,135,49,146
Enstatite,Pyroxene-Ortho,PYROXENE,135,49,146
Fayalite,Olivine,OLIVINE,24,140,0
Forsterite,Olivine,OLIVINE,24,140,0
Olivine,Olivine,OLIVINE,24,140,0
Andalusite,Silicate-MetaM,MISC-SILICATE,73,128,189
Cordierite,Silicate-MetaM,MISC-SILICATE,73,128,189
Danalite,Danalite,MISC-SILICATE,73,128,189
Datolite,Datolite,MISC-SILICATE,73,128,189
Marialite,Scapolite,MISC-SILICATE,73,128,189
Meionite,Scapolite,MISC-SILICATE,73,128,189
Vesuvianite,Vesuvianite,MISC-SILICATE,73,128,189
Analcime,Zeolite,ZEOLITE,178,189,245
Chabazite,Zeolite,ZEOLITE,178,189,245
Heulandite,Zeolite,ZEOLITE,178,189,245
Laumontite,Zeolite,ZEOLITE,178,189,245
Mesolite,Zeolite,ZEOLITE,178,189,245
Natrolite,Zeolite,ZEOLITE,178,189,245
Phillipsite,Zeolite,ZEOLITE,178,189,245
Thomsonite,Zeolite,ZEOLITE,178,189,245
Dickite,Kaolin,KAOLIN,255,0,0
Kaolinite,Kaolin,KAOLIN,255,0,0
Kaolinite-PX,Kaolin,KAOLIN,255,0,0
Kaolinite-WX,Kaolin,KAOLIN,255,0,0
Nacrite,Kaolin,KAOLIN,255,0,0
Illite,W-Mica,WHITE-MICA,255,255,0
Muscovite,W-Mica,WHITE-MICA,255,255,0
MuscoviticIllite,W-Mica,WHITE-MICA,255,255,0
Paragonite,W-Mica,WHITE-MICA,255,255,0
ParagoniticIllite,W-Mica,WHITE-MICA,255,255,0
Phengite,W-Mica,WHITE-MICA,255,255,0
PhengiticIllite,W-Mica,WHITE-MICA,255,255,0
Montmorillonite,Smectite-Al,SMECTITE,196,169,151
Montmorillonite-Na,Smectite-Al,SMECTITE,196,169,151
Nontronite,Smectite-Fe,SMECTITE,196,169,151
Smectite,Smectite-Al,SMECTITE,196,169,151
Smectite-Fe,Smectite-Fe,SMECTITE,196,169,151
Saponite,Smectite-Fe,SMECTITE,196,169,151
Axinite,Axinite,OTHER-ALOH,255,251,189
Diaspore,Diaspore,OTHER-ALOH,255,251,189
Gibbsite,Gibbsite,OTHER-ALOH,255,251,189
Prehnite,Prehnite,OTHER-ALOH,255,251,189
Pyrophyllite,Pyrophyllite,OTHER-ALOH,255,251,189
Topaz,Topaz,OTHER-ALOH,255,251,189
Chlorite,Chlorite,CHLORITE,0,255,0
Chlorite-Fe,Chlorite,CHLORITE,0,255,0
Chlorite-FeMg,Chlorite,CHLORITE,0,255,0
Chlorite-Mg,Chlorite,CHLORITE,0,255,0
Biotite,Dark-Micas,DARK-MICA,104,59,80
Phlogopite,Dark-Micas,DARK-MICA,104,59,80
Stilpnomelane,Dark-Micas,DARK-MICA,104,59,80
Actinolite,Amphibole-Ca,AMPHIBOLE,255,0,255
AmphiboleML48,Amphibole-Ca,AMPHIBOLE,255,0,255
Edenite,Amphibole-Ca,AMPHIBOLE,255,0,255
Ferrohornblende,Amphibole-Ca,AMPHIBOLE,255,0,255
Hornblende,Amphibole-Ca,AMPHIBOLE,255,0,255
Kaersutite,Amphibole-Ca,AMPHIBOLE,255,0,255
Tremolite,Amphibole-Ca,AMPHIBOLE,255,0,255
Tschermakite,Amphibole-Ca,AMPHIBOLE,255,0,255
Anthophyllite,Amphibole-Mg-Fe-Mn-Li,AMPHIBOLE,255,0,255
Cummingtonite,Amphibole-Mg-Fe-Mn-Li,AMPHIBOLE,255,0,255
Gedrite,Amphibole-Mg-Fe-Mn-Li,AMPHIBOLE,255,0,255
Grunerite,Amphibole-Mg-Fe-Mn-Li,AMPHIBOLE,255,0,255
Holmquistite,Amphibole-Mg-Fe-Mn-Li,AMPHIBOLE,255,0,255
Manganocummingtonite,Amphibole-Mg-Fe-Mn-Li,AMPHIBOLE,255,0,255
Arfvedsonite,Amphibole-Na,AMPHIBOLE,255,0,255
Glaucophane,Amphibole-Na,AMPHIBOLE,255,0,255
Riebeckite,Amphibole-Na,AMPHIBOLE,255,0,255
Antigorite,Serpentine,SERPENTINE,155,189,111
Chrysotile,Serpentine,SERPENTINE,155,189,111
Lizardite,Serpentine,SERPENTINE,155,189,111
Serpentine,Serpentine,SERPENTINE,155,189,111
Brucite,Brucite,OTHER-MGOH,32,0,106
Talc,Talc,OTHER-MGOH,32,0,106
Clinozoisite,Epidote,EPIDOTE,0,255,255
Epidote,Epidote,EPIDOTE,0,255,255
Zoisite,Epidote,EPIDOTE,0,255,255
Schorl,Tourmaline-Na-Fe-Mn,TOURMALINE,185,93,117
Tourmaline,Tourmaline-Na-Fe-Mn,TOURMALINE,185,93,117
Tourmaline-Fe,Tourmaline-Na-Fe-Mn,TOURMALINE,185,93,117
Elbaite,Tourmaline-Na-Li-Al,TOURMALINE,185,93,117
Rubellite,Tourmaline-Na-Li-Al,TOURMALINE,185,93,117
Cerussite,Carbonate-Ba-Sr-Pb-Zn,CARBONATE,0,0,255
Smithsonite,Carbonate-Ba-Sr-Pb-Zn,CARBONATE,0,0,255
Strontianite,Carbonate-Ba-Sr-Pb-Zn,CARBONATE,0,0,255
