,Mineral,Group,Red,Green,Blue,name
0,tschermigite,alum,24,255,255,cyan
1,amblygonite,amblygonite,248,248,255,ghostwhite
2,montebrasite,amblygonite,248,248,255,ghostwhite
3,actinolite,amphibole,255,0,255,magenta
4,amphiboleml48,amphibole,255,0,255,magenta
5,anthophyllite,amphibole,255,0,255,magenta
6,arfvedsonite,amphibole,255,0,255,magenta
7,cummingtonite,amphibole,255,0,255,magenta
8,edenite,amphibole,255,0,255,magenta
9,ferrohornblende,amphibole,255,0,255,magenta
10,gedrite,amphibole,255,0,255,magenta
11,glaucophane,amphibole,255,0,255,magenta
12,grunerite,amphibole,255,0,255,magenta
13,holmquistite,amphibole,255,0,255,magenta
14,hornblende,amphibole,255,0,255,magenta
15,kaersutite,amphibole,255,0,255,magenta
16,manganocummingtonite,amphibole,255,0,255,magenta
17,richterite,amphibole,255,0,255,magenta
18,riebeckite,amphibole,255,0,255,magenta
19,smaragdite,amphibole,255,0,255,magenta
20,tremolite,amphibole,255,0,255,magenta
21,tschermakite,amphibole,255,0,255,magenta
22,uralite,amphibole,255,0,255,magenta
23,hydroxyapophyllite,apophyllite,255,255,240,ivory
24,celsian,ba-feldspar,240,120,0,darkorange
25,borax,borate,64,42,0,maroon
26,colemanite,borate,64,42,0,maroon
27,howlite,borate,64,42,0,maroon
28,ludwigite,borate,64,42,0,maroon
29,pinnoite,borate,64,42,0,maroon
30,rivadavite,borate,64,42,0,maroon
31,tincalconite,borate,64,42,0,maroon
32,ulexite,borate,64,42,0,maroon
33,vonsenite,borate,64,42,0,maroon
34,ankerite,carbonate,0,0,255,blue
35,aragonite,carbonate,0,0,255,blue
36,azurite,carbonate,0,0,255,blue
37,bastnaesite,carbonate,0,0,255,blue
38,bastnasite,carbonate,0,0,255,blue
39,calcite,carbonate,0,0,255,blue
40,cerussite,carbonate,0,0,255,blue
41,dawsonite,carbonate,0,0,255,blue
42,dolomite,carbonate,0,0,255,blue
43,dolomite-fe,carbonate,0,0,255,blue
44,gaylussite,carbonate,0,0,255,blue
45,giorgiosite,carbonate,0,0,255,blue
46,hydromagnesite,carbonate,0,0,255,blue
47,magnesite,carbonate,0,0,255,blue
48,malachite,carbonate,0,0,255,blue
49,nesquehonite,carbonate,0,0,255,blue
50,parisite,carbonate,0,0,255,blue
51,rhodochrosite,carbonate,0,0,255,blue
52,siderite,carbonate,0,0,255,blue
53,sjogrenite,carbonate,0,0,255,blue
54,smithsonite,carbonate,0,0,255,blue
55,strontianite,carbonate,0,0,255,blue
56,trona,carbonate,0,0,255,blue
57,witherite,carbonate,0,0,255,blue
58,chlorite,chlorite,0,255,0,lime
59,chlorite-fe,chlorite,0,255,0,lime
60,chlorite-femg,chlorite,0,255,0,lime
61,chlorite-mg,chlorite,0,255,0,lime
62,clinochlore,chlorite,0,255,0,lime
63,cookeite,chlorite,0,255,0,lime
64,corrensite,chlorite,0,255,0,lime
65,ferroan clinochlore,chlorite,0,255,0,lime
66,rectorite,chlorite,0,255,0,lime
67,thuringite,chlorite,0,255,0,lime
68,clay-cu,clay-cu,95,158,160,cadetblue
69,annite,dark-mica,104,59,80,dimgrey
70,biotite,dark-mica,104,59,80,dimgrey
71,phlogopite,dark-mica,104,59,80,dimgrey
72,siderophyllite,dark-mica,104,59,80,dimgrey
73,stilpnomelane,dark-mica,104,59,80,dimgrey
74,vermiculite,dark-mica,104,59,80,dimgrey
75,enstatite,enstatite,238,232,170,palegoldenrod
76,allanite,epidote,0,255,255,cyan
77,clinozoisite,epidote,0,255,255,cyan
78,epidote,epidote,0,255,255,cyan
79,zoisite,epidote,0,255,255,cyan
80,nepheline,feldspathoid,240,160,0,orange
81,almandine,garnet,161,0,121,darkmagenta
82,andradite,garnet,161,0,121,darkmagenta
83,grossular,garnet,161,0,121,darkmagenta
84,pyrope,garnet,161,0,121,darkmagenta
85,spessartine,garnet,161,0,121,darkmagenta
86,uvarovite,garnet,161,0,121,darkmagenta
87,kernite,gypsum,255,228,225,mistyrose
88,atacamite,halide,136,136,136,gray
89,fluorite,halide,136,136,136,gray
90,calcium hydroxide,hydroxide,250,240,230,linen
91,dickite,kaolin,255,0,0,red
92,endellite,kaolin,255,0,0,red
93,halloysite,kaolin,255,0,0,red
94,kaolinite,kaolin,255,0,0,red
95,kaolinite-px,kaolin,255,0,0,red
96,kaolinite-wx,kaolin,255,0,0,red
97,nacrite,kaolin,255,0,0,red
98,karpatite,karpatite,154,205,50,yellowgreen
99,adularia,k-feldspar,240,120,0,darkorange
100,anorthoclase,k-feldspar,240,120,0,darkorange
101,buddingtonite,k-feldspar,240,120,0,darkorange
102,microcline,k-feldspar,240,120,0,darkorange
103,orthoclase,k-feldspar,240,120,0,darkorange
104,sanidine,k-feldspar,240,120,0,darkorange
105,kyanite,kyanite,30,144,255,dodgerblue
106,carnallite,misc-gen,16,115,67,seagreen
107,halite,misc-gen,16,115,67,seagreen
108,neodymium_oxide,misc-gen,16,115,67,seagreen
109,nickeline,misc-gen,16,115,67,seagreen
110,niter,misc-gen,16,115,67,seagreen
111,praseodymium_oxide,misc-gen,16,115,67,seagreen
112,sulfur,misc-gen,16,115,67,seagreen
113,andalusite,misc-silicate,73,128,189,steelblue
114,beryl,misc-silicate,73,128,189,steelblue
115,chloritoid,misc-silicate,73,128,189,steelblue
116,chrysocolla,misc-silicate,73,128,189,steelblue
117,cordierite,misc-silicate,73,128,189,steelblue
118,danalite,misc-silicate,73,128,189,steelblue
119,datolite,misc-silicate,73,128,189,steelblue
120,dumortierite,misc-silicate,73,128,189,steelblue
121,lazurite,misc-silicate,73,128,189,steelblue
122,marialite,misc-silicate,73,128,189,steelblue
123,meionite,misc-silicate,73,128,189,steelblue
124,pectolite,misc-silicate,73,128,189,steelblue
125,petalite,misc-silicate,73,128,189,steelblue
126,sillimanite,misc-silicate,73,128,189,steelblue
127,sodalite,misc-silicate,73,128,189,steelblue
128,staurolite,misc-silicate,73,128,189,steelblue
129,titanite,misc-silicate,73,128,189,steelblue
130,vesuvianite,misc-silicate,73,128,189,steelblue
131,wollastonite,misc-silicate,73,128,189,steelblue
132,zircon,misc-silicate,73,128,189,steelblue
133,zunyite,misc-silicate,73,128,189,steelblue
134,fayalite,olivine,24,140,0,green
135,forsterite,olivine,24,140,0,green
136,monticellite,olivine,24,140,0,green
137,olivine,olivine,24,140,0,green
138,olivine-camg,olivine,24,140,0,green
139,olivine-fe,olivine,24,140,0,green
140,olivine-femg,olivine,24,140,0,green
141,olivine-femn,olivine,24,140,0,green
142,olivine-mg,olivine,24,140,0,green
143,triphylite,olivine,24,140,0,green
144,axinite,other-aloh,255,251,189,lemonchiffon
145,coffinite,other-aloh,255,251,189,lemonchiffon
146,diaspore,other-aloh,255,251,189,lemonchiffon
147,gibbsite,other-aloh,255,251,189,lemonchiffon
148,montroseite,other-aloh,255,251,189,lemonchiffon
149,prehnite,other-aloh,255,251,189,lemonchiffon
150,pyrophyllite,other-aloh,255,251,189,lemonchiffon
151,topaz,other-aloh,255,251,189,lemonchiffon
152,brucite,other-mgoh,32,0,106,midnightblue
153,talc,other-mgoh,32,0,106,midnightblue
154,apophyllite,other-oh,239,251,213,lemonchiffon
155,brookite,oxide,118,82,70,dimgrey
156,cassiterite,oxide,118,82,70,dimgrey
157,chromite,oxide,118,82,70,dimgrey
158,corundum,oxide,118,82,70,dimgrey
159,cuprite,oxide,118,82,70,dimgrey
160,gahnite,oxide,118,82,70,dimgrey
161,goethite,oxide,118,82,70,dimgrey
162,hematite,oxide,118,82,70,dimgrey
163,ilmenite,oxide,118,82,70,dimgrey
164,limonite,oxide,118,82,70,dimgrey
165,magnetite,oxide,118,82,70,dimgrey
166,psilomelane,oxide,118,82,70,dimgrey
167,pyrolusite,oxide,118,82,70,dimgrey
168,rutile,oxide,118,82,70,dimgrey
169,zincite,oxide,118,82,70,dimgrey
170,palygorskite,pal-sep,184,140,36,darkgoldenrod
171,sepiolite,pal-sep,184,140,36,darkgoldenrod
172,apatite,phosphate,191,147,254,plum
173,apatite-cl,phosphate,191,147,254,plum
174,apatite-oh,phosphate,191,147,254,plum
175,chlorapatite,phosphate,191,147,254,plum
176,monazite,phosphate,191,147,254,plum
177,pyromorphite,phosphate,191,147,254,plum
178,xenotime,phosphate,191,147,254,plum
179,albite,plagioclase,149,13,0,darkred
180,andesine,plagioclase,149,13,0,darkred
181,anorthite,plagioclase,149,13,0,darkred
182,bytownite,plagioclase,149,13,0,darkred
183,labradorite,plagioclase,149,13,0,darkred
184,oligoclase,plagioclase,149,13,0,darkred
185,acmite,pyroxene,135,49,146,darkmagenta
186,aegirine,pyroxene,135,49,146,darkmagenta
187,augite,pyroxene,135,49,146,darkmagenta
188,bronzite,pyroxene,135,49,146,darkmagenta
189,diopside,pyroxene,135,49,146,darkmagenta
190,fassaite,pyroxene,135,49,146,darkmagenta
191,ferrosilite,pyroxene,135,49,146,darkmagenta
192,hedenbergite,pyroxene,135,49,146,darkmagenta
193,hypersthene,pyroxene,135,49,146,darkmagenta
194,jadeite,pyroxene,135,49,146,darkmagenta
195,kosmochlor,pyroxene,135,49,146,darkmagenta
196,omphacite,pyroxene,135,49,146,darkmagenta
197,pigeonite,pyroxene,135,49,146,darkmagenta
198,rhodonite,pyroxene,135,49,146,darkmagenta
199,spodumene,pyroxene,135,49,146,darkmagenta
200,scorodite,scorodite,240,230,140,khaki
201,antigorite,serpentine,155,189,111,darkseagreen
202,chrysotile,serpentine,155,189,111,darkseagreen
203,cronstedtite,serpentine,155,189,111,darkseagreen
204,lizardite,serpentine,155,189,111,darkseagreen
205,serpentine,serpentine,155,189,111,darkseagreen
206,chalcedony,silica,254,207,230,mistyrose
207,opal,silica,254,207,230,mistyrose
208,quartz,silica,254,207,230,mistyrose
209,hemimorphite,silicate,105,105,105,dimgrey
210,beidellite,smectite,196,169,151,tan
211,hectorite,smectite,196,169,151,tan
212,montmorillonite,smectite,196,169,151,tan
213,montmorillonite-na,smectite,196,169,151,tan
214,nontronite,smectite,196,169,151,tan
215,saponite,smectite,196,169,151,tan
216,sauconite,smectite,196,169,151,tan
217,smectite,smectite,196,169,151,tan
218,smectite-fe,smectite,196,169,151,tan
219,alunite,sulphate,104,96,28,darkolivegreen
220,alunite-k,sulphate,104,96,28,darkolivegreen
221,alunite-na,sulphate,104,96,28,darkolivegreen
222,alunite-nh,sulphate,104,96,28,darkolivegreen
223,anhydrite,sulphate,104,96,28,darkolivegreen
224,antlerite,sulphate,104,96,28,darkolivegreen
225,barite,sulphate,104,96,28,darkolivegreen
226,bassanite,sulphate,104,96,28,darkolivegreen
227,blodite,sulphate,104,96,28,darkolivegreen
228,brochantite,sulphate,104,96,28,darkolivegreen
229,butlerite,sulphate,104,96,28,darkolivegreen
230,celestite,sulphate,104,96,28,darkolivegreen
231,copiapite,sulphate,104,96,28,darkolivegreen
232,epsomite,sulphate,104,96,28,darkolivegreen
233,eugsterite,sulphate,104,96,28,darkolivegreen
234,goslarite,sulphate,104,96,28,darkolivegreen
235,gypsum,sulphate,104,96,28,darkolivegreen
236,jarosite,sulphate,104,96,28,darkolivegreen
237,kainite,sulphate,104,96,28,darkolivegreen
238,mascagnite,sulphate,104,96,28,darkolivegreen
239,melanterite,sulphate,104,96,28,darkolivegreen
240,mirabilite,sulphate,104,96,28,darkolivegreen
241,natrojarosite,sulphate,104,96,28,darkolivegreen
242,plumbojarosite,sulphate,104,96,28,darkolivegreen
243,polyhalite,sulphate,104,96,28,darkolivegreen
244,retgersite,sulphate,104,96,28,darkolivegreen
245,syngenite,sulphate,104,96,28,darkolivegreen
246,thenardite,sulphate,104,96,28,darkolivegreen
247,arsenopyrite,sulphide,77,108,61,darkolivegreen
248,bornite,sulphide,77,108,61,darkolivegreen
249,chalcopyrite,sulphide,77,108,61,darkolivegreen
250,chalcopyrite-oxidised,sulphide,77,108,61,darkolivegreen
251,cinnabar,sulphide,77,108,61,darkolivegreen
252,galena,sulphide,77,108,61,darkolivegreen
253,molybdenite,sulphide,77,108,61,darkolivegreen
254,pyrite,sulphide,77,108,61,darkolivegreen
255,pyrrhotite,sulphide,77,108,61,darkolivegreen
256,sphalerite,sulphide,77,108,61,darkolivegreen
257,dravite,tourmaline,185,93,117,indianred
258,elbaite,tourmaline,185,93,117,indianred
259,rubellite,tourmaline,185,93,117,indianred
260,schorl,tourmaline,185,93,117,indianred
261,tourmaline,tourmaline,185,93,117,indianred
262,tourmaline-fe,tourmaline,185,93,117,indianred
263,celadonite,white-mica,255,255,0,yellow
264,glauconite,white-mica,255,255,0,yellow
265,illite,white-mica,255,255,0,yellow
266,illite-nh4,white-mica,255,255,0,yellow
267,lepidolite,white-mica,255,255,0,yellow
268,margarite,white-mica,255,255,0,yellow
269,muscovite,white-mica,255,255,0,yellow
270,muscoviticillite,white-mica,255,255,0,yellow
271,paragonite,white-mica,255,255,0,yellow
272,paragoniticillite,white-mica,255,255,0,yellow
273,phengite,white-mica,255,255,0,yellow
274,phengiticillite,white-mica,255,255,0,yellow
275,polylithionite,white-mica,255,255,0,yellow
276,roscoelite,white-mica,255,255,0,yellow
277,zinnwaldite,white-mica,255,255,0,yellow
278,bustamite,wollastonite,170,175,175,darkgrey
279,analcime,zeolite,178,189,245,lightsteelblue
280,chabazite,zeolite,178,189,245,lightsteelblue
281,clinoptilolite,zeolite,178,189,245,lightsteelblue
282,clinoptilolite-ca,zeolite,178,189,245,lightsteelblue
283,erionite,zeolite,178,189,245,lightsteelblue
284,erionite ca,zeolite,178,189,245,lightsteelblue
285,gmelinite-ca-na-k,zeolite,178,189,245,lightsteelblue
286,heulandite,zeolite,178,189,245,lightsteelblue
287,laumontite,zeolite,178,189,245,lightsteelblue
288,leucite,zeolite,178,189,245,lightsteelblue
289,levyne-ca,zeolite,178,189,245,lightsteelblue
290,mesolite,zeolite,178,189,245,lightsteelblue
291,mordenite,zeolite,178,189,245,lightsteelblue
292,natrolite,zeolite,178,189,245,lightsteelblue
293,phillipsite,zeolite,178,189,245,lightsteelblue
294,scolecite,zeolite,178,189,245,lightsteelblue
295,stellerite,zeolite,178,189,245,lightsteelblue
296,stilbite,zeolite,178,189,245,lightsteelblue
297,thomsonite,zeolite,178,189,245,lightsteelblue
