,file,sample_id,instrument,analysis,purity,mineral_type,formula,sample_location,group,mineral
0,none,78,unknown,unknown,unknown,unknown,unknown,unknown,amphibole,actinolite
1,none,78,unknown,unknown,unknown,unknown,unknown,unknown,amphibole,actinolite
2,none,218,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,aegirine
3,none,218,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,aegirine
4,none,13,unknown,unknown,unknown,unknown,unknown,unknown,plagioclase,albite
5,none,13,unknown,unknown,unknown,unknown,unknown,unknown,plagioclase,albite
6,none,13,unknown,unknown,unknown,unknown,unknown,unknown,plagioclase,albite
7,none,22,unknown,unknown,unknown,unknown,unknown,unknown,garnet,almandine
8,none,123,unknown,unknown,unknown,unknown,unknown,unknown,sulphate,alunite-k
9,none,123,unknown,unknown,unknown,unknown,unknown,unknown,sulphate,alunite-k
10,none,123,unknown,unknown,unknown,unknown,unknown,unknown,sulphate,alunite-k
11,none,124,unknown,unknown,unknown,unknown,unknown,unknown,sulphate,alunite-na
12,none,79,unknown,unknown,unknown,unknown,unknown,unknown,amphibole,amphiboleml48
13,none,39,unknown,unknown,unknown,unknown,unknown,unknown,zeolite,analcime
14,none,32,unknown,unknown,unknown,unknown,unknown,unknown,misc-silicate,andalusite
15,none,32,unknown,unknown,unknown,unknown,unknown,unknown,misc-silicate,andalusite
16,none,17,unknown,unknown,unknown,unknown,unknown,unknown,plagioclase,andesine
17,none,17,unknown,unknown,unknown,unknown,unknown,unknown,plagioclase,andesine
18,none,19,unknown,unknown,unknown,unknown,unknown,unknown,garnet,andradite
19,none,126,unknown,unknown,unknown,unknown,unknown,unknown,sulphate,anhydrite
20,none,115,unknown,unknown,unknown,unknown,unknown,unknown,carbonate,ankerite
21,none,14,unknown,unknown,unknown,unknown,unknown,unknown,plagioclase,anorthite
22,none,10,unknown,unknown,unknown,unknown,unknown,unknown,k-feldspar,anorthoclase
23,none,10,unknown,unknown,unknown,unknown,unknown,unknown,k-feldspar,anorthoclase
24,none,86,unknown,unknown,unknown,unknown,unknown,unknown,amphibole,anthophyllite
25,none,86,unknown,unknown,unknown,unknown,unknown,unknown,amphibole,anthophyllite
26,none,95,unknown,unknown,unknown,unknown,unknown,unknown,serpentine,antigorite
27,none,130,unknown,unknown,unknown,unknown,unknown,unknown,phosphate,apatite
28,none,118,unknown,unknown,unknown,unknown,unknown,unknown,carbonate,aragonite
29,none,92,unknown,unknown,unknown,unknown,unknown,unknown,amphibole,arfvedsonite
30,none,25,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,augite
31,none,25,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,augite
32,none,25,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,augite
33,none,25,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,augite
34,none,25,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,augite
35,none,25,unknown,unknown,unknown,unknown,unknown,unknown,pyroxene,augite
36,none,65,unknown,unknown,unknown,unknown,unknown,unknown,other-aloh,axinite
37,none,113,unknown,unknown,unknown,unknown,unknown,unknown,carbonate,azurite
38,none,127,unknown,unknown,unknown,unknown,unknown,unknown,sulphate,barite
39,none,75,unknown,unknown,unknown,unknown,unknown,unknown,dark-mica,biotite
40,none,75,unknown,unknown,unknown,unknown,unknown,unknown,dark-mica,biotite
41,none,15,unknown,unknown,unknown,unknown,unknown,unknown,plagioclase,bytownite
