,Mineral,Group,Red,Green,Blue,name
0,aegirine,aegirine,0,128,128,aqua
1,tschermigite,alum,24,255,255,azure
2,alunite-k,alunite-k,192,192,192,burlywood
3,amblygonite,amblygonite,248,248,255,silver
4,montebrasite,amblygonite,248,248,255,silver
5,actinolite,amphibole,255,0,255,fuchsia
6,amphiboleml48,amphibole,255,0,255,fuchsia
7,anthophyllite,amphibole,255,0,255,fuchsia
8,arfvedsonite,amphibole,255,0,255,fuchsia
9,cummingtonite,amphibole,255,0,255,fuchsia
10,edenite,amphibole,255,0,255,fuchsia
11,ferrohornblende,amphibole,255,0,255,fuchsia
12,gedrite,amphibole,255,0,255,fuchsia
13,glaucophane,amphibole,255,0,255,fuchsia
14,grunerite,amphibole,255,0,255,fuchsia
15,holmquistite,amphibole,255,0,255,fuchsia
16,hornblende,amphibole,255,0,255,fuchsia
17,kaersutite,amphibole,255,0,255,fuchsia
18,manganocummingtonite,amphibole,255,0,255,fuchsia
19,richterite,amphibole,255,0,255,fuchsia
20,riebeckite,amphibole,255,0,255,fuchsia
21,smaragdite,amphibole,255,0,255,fuchsia
22,tremolite,amphibole,255,0,255,fuchsia
23,tschermakite,amphibole,255,0,255,fuchsia
24,uralite,amphibole,255,0,255,fuchsia
25,andalusite,andalusite,178,34,34,tan
26,hydroxyapophyllite,apophyllite,255,255,240,seashell
27,celsian,ba-feldspar,240,120,0,darkorange
28,borax,borate,64,42,0,maroon
29,colemanite,borate,64,42,0,maroon
30,howlite,borate,64,42,0,maroon
31,ludwigite,borate,64,42,0,maroon
32,pinnoite,borate,64,42,0,maroon
33,rivadavite,borate,64,42,0,maroon
34,tincalconite,borate,64,42,0,maroon
35,ulexite,borate,64,42,0,maroon
36,vonsenite,borate,64,42,0,maroon
37,sodalite,cancrinite-sodalite,175,238,238,lavendarblush
38,ankerite,carbonate,0,0,255,royalblue
39,aragonite,carbonate,0,0,255,royalblue
40,azurite,carbonate,0,0,255,royalblue
41,bastnaesite,carbonate,0,0,255,royalblue
42,bastnasite,carbonate,0,0,255,royalblue
43,calcite,carbonate,0,0,255,royalblue
44,cerussite,carbonate,0,0,255,royalblue
45,"cerussite,",carbonate,0,0,255,royalblue
46,dawsonite,carbonate,0,0,255,royalblue
